Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
239964386,Fight Oligarchy,Bernie Sanders,"Sanders, Bernie",,"=""""","=""9798217089178""",2.0,Crown,Kindle Edition,144,2025,2025,2026/07/25,2026/07/23,,,read,"<strong>Very high level and low on substance</strong><br/><br/>This book provides a very high level overview of struggles for workers rights and general liberty in the United States and across the world. Anyone who is a student of history is not going to find any new information there. <br/><br/>Additionally, this book provides a section on Bernie's own recommendations on what changes need to be instituted. However, it fails to provide explanations or mechanisms on the sustainability of those recommendations, leaving the reader concerned for how well thought out those positions are. I am personally saddened by this because while I may agree with some of his points, his failure to explain them adequately undermines them and leaves the reader (myself) worried that they are not well thought through.  <br/><br/>This book additionally provides a high level overview of some of the campaign work that Bernie has been doing, which really isn't particularly interesting or valuable for trying to convince people of his position. <br/><br/>In short, I may agree with a lot of what you believe, but as an engineer, having read this book leaves me upset that you present your life's work as not well thought through. It felt like I was reading an extended collage of brief campaign clips. But maybe I was not a part of the intended audience for this book.",,,1,0
42114878,Fascism: A Warning: A #1 New York Times Bestseller on the History and Threat of Authoritarianism to Democracy,Madeleine K. Albright,"Albright, Madeleine K.",,"=""006293127X""","=""9780062931276""",5.0,Harper Perennial,Kindle Edition,294,2019,2018,2026/07/23,2025/09/23,,,read,,,,1,0
18272760,The Power of Myth,Joseph Campbell,"Campbell, Joseph",,"=""0307794725""","=""9780307794727""",0,Anchor,Kindle Edition,317,2011,1988,,2025/09/03,currently-reading,currently-reading (#5),currently-reading,,,,1,0
55742688,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,"=""0374715246""","=""9780374715243""",0,"Farrar, Straus and Giroux",Kindle Edition,290,2021,2021,,2025/04/01,currently-reading,currently-reading (#4),currently-reading,,,,1,0
176530394,Abundance,Ezra Klein,"Klein, Ezra",Derek Thompson,"=""1668023504""","=""9781668023501""",5.0,Avid Reader Press / Simon & Schuster,Kindle Edition,297,2025,2025,2025/03/30,2025/03/30,,,read,,,,1,0
13278458,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,"=""""","=""""",5.0,Currency,ebook,544,2012,2012,2025/03/14,2024/11/18,,,read,,,,1,0
48754611,The Politics Industry: How Political Innovation Can Break Partisan Gridlock and Save Our Democracy,Katherine M. Gehl,"Gehl, Katherine M.","Michael E. Porter, Mike Gallagher (R-WI), Chrissy Houlahan (D-PA)","=""""","=""""",5.0,Harvard Business Review Press,Kindle Edition,287,2020,,2024/11/18,2024/07/08,,,read,,,,1,0
123115687,Tyranny of the Minority: Why American Democracy Reached the Breaking Point,Steven Levitsky,"Levitsky, Steven",Daniel Ziblatt,"=""059344308X""","=""9780593443088""",5.0,Crown,Kindle Edition,369,2023,2023,2024/05/14,2024/04/12,,,read,,,,1,0
6494346,The No Asshole Rule: Building a Civilized Workplace and Surviving One That Isn't,Robert I. Sutton,"Sutton, Robert I.",,"=""0759518017""","=""9780759518018""",0,Business Plus,Kindle Edition,189,2007,2007,,2023/11/26,currently-reading,currently-reading (#3),currently-reading,,,,1,0
60733353,What We Owe the Future,William MacAskill,"MacAskill, William",,"=""1541618637""","=""9781541618633""",0,Basic Books,Kindle Edition,464,2022,2022,,2023/10/15,currently-reading,currently-reading (#2),currently-reading,,,,1,0
