name,id,owner,owner_id,public,collaborative,track_count,description
Peninsula Loop - April 2026,1VfKU6eLAi07W8T6ByaiMr,Jonathan Vezeteknev,jmicklos,True,False,0,
My top tracks playlist,2XKz10JDTLigxCqKN1Wgn7,Jonathan Vezeteknev,jmicklos,True,False,0,Playlist created by the tutorial on developer.spotify.com
Boom Bap,0lEA06MiCe5hD6EVKOviHm,Jonathan Vezeteknev,jmicklos,True,False,0,
Metal Workout Mix,1xVOiCfK7zyoIII5PCGgWe,Jonathan Vezeteknev,jmicklos,True,False,0,
Bizarre EDM,3UqoL2pn0nLAdDp9KiLsuh,Jonathan Vezeteknev,jmicklos,True,False,0,
Wedding Playlist Ideas,04IxYsDTvjFwYBIMC9dXdN,Jonathan Vezeteknev,jmicklos,True,False,0,
“i listen to everything” [all songs] 🔊🗿,0hRWlUlzplMNAibjzlHyur,G Zoom,1251392804,True,False,0,All of the songs that have ever been on the &quot;i listen to everything&quot; playlist...
“i listen to everything” 🔊🥴,2qk8XRteoVQCpTqijKUfRf,G Zoom,1251392804,True,False,0,the ultimate test for the ultimate ear [v5]
G Zoom Recommends,2VhuE8EyIiClZi0i4IlOo5,Jonathan Vezeteknev,jmicklos,True,False,0,
Beyond Wonderland The Gorge 2025,5h3TjaqJsI3HrxZ3XsrWiU,bullet train to iowa,12153059709,True,False,0,
"Lights down, you up and die",4k1j09svhyRGJDJYPyMZLU,Music League,31p2xvwzkksj2qzdybmaiqnjii3u,True,False,0,null
Drum beats louder,3uyx9dPh4e1DckYpyuKRuU,Music League,31p2xvwzkksj2qzdybmaiqnjii3u,True,False,0,null
Wondering if we had spent our living days well,078nL3isb4WHVqkpD9A6n1,Music League,317v5k564hpvnjngnnmewv4k3gea,True,False,0,null
"Turns out not where, but who you're with that really matters",0qDk6Jg9RVHvtlY0ybg5tD,Music League,317v5k564hpvnjngnnmewv4k3gea,True,False,0,null
Tomorrow go back to being friends,2ClpNTgPPjM3IfI8vRUTiv,Music League,317v5k564hpvnjngnnmewv4k3gea,True,False,0,null
old new york vibes 🥃🍸,6vYCcjzegcjKfvR4mMYAJJ,sazdotcom,hellosarawr,True,False,0,jazz essentials - reminiscent of old new york city
Don’t lose the dreams inside your head,0D2vDtYZPqCAKlHozg5r9N,Music League,317v5k564hpvnjngnnmewv4k3gea,True,False,0,null
"I like most liquor, but I don't like gin",1x8Tyh4DkyIhdoFKGKYerQ,Music League,317v5k564hpvnjngnnmewv4k3gea,True,False,0,null
"Eat, Drink, and be Merry!",6mYxpwGn4sAXKl94Vrc0FN,Music League,317v5k564hpvnjngnnmewv4k3gea,True,False,0,
Hip Hop Jazz Covers,00W0RiXu7l1eMS2DveWXhh,Beau Pesa,bp7333,True,False,0,Hip hop artists sampled from jazz music...now jazz artists are covering hip hop music. The circle is complete. 
Shit.... are we really a quarter of the way through the century?,2S9mk3iCJSvys5wWDWVemL,Music League,31t73z5sngxqxhd7vxsk7l2uovyu,True,False,0,
Window Seats and AirPods,6iao2vsEtzfsw0tVs4lWK2,Music League,31t73z5sngxqxhd7vxsk7l2uovyu,True,False,0,
Spa Music...But The Subwoofers Massage You,1wjaqJ1HLhOmmMzb5viBhM,Jonathan Vezeteknev,jmicklos,True,False,0,
"I don't wanna grow up, I'm a toys'r'us kid",0eG8AUYnLCKBcS8paHQsbU,Music League,31t73z5sngxqxhd7vxsk7l2uovyu,True,False,0,
Dope Beats,43qeAgSSWXUHdMOnO3z0ug,Music League,31t73z5sngxqxhd7vxsk7l2uovyu,True,False,0,
Bang bang boogie and the broccoli beef,2QO522wXuYk8z08dFowFtb,Music League,31t73z5sngxqxhd7vxsk7l2uovyu,True,False,0,
You shut your mouth when you're talking to me!,76TvtFpxSHGdTF1vlq9g54,Music League,31t73z5sngxqxhd7vxsk7l2uovyu,True,False,0,
Let's See Where This Goes,2NwhZB2T84le3A02wxrntm,Athul K. Acharya,1213650747,True,False,0,
Epic Synthwave,3aMtRxkZUmmhmhuVwxm7Bc,Nevaera,ajakrpgjlajw40qk28ot81hdp,True,False,0,"Dark dystopian synth sounds from the best Darksynth, Cyberpunk, and Synthwave artists from across the megacity."
Cinematic Dark Synth,37GWbcar9ky3DE6Bo4emvg,Macrowave,kebel,True,False,0,"Dark and epic synthwave tracks telling a story. Dystopian atmosphere with ruthless drums, intense bassline and soulful synthesizers. Cinematic Darksynth."
The times they are a changin',0KzmvbejlOvYiXcj37BNQM,Music League,31bjc24d3lfa3r2spryqskyfps24,True,False,0,
Story Time!,03YZvOhXI15wB847gU7Kl0,Music League,31bjc24d3lfa3r2spryqskyfps24,True,False,0,
De Donde Eres?,4mH8FLR2YqsDaxsexNMUHB,Music League,31bjc24d3lfa3r2spryqskyfps24,True,False,0,
Finally some good weather,4Yr8CJdo2UKlXgD8mV6ry3,Music League,31l2ybikgcplyq5l2i3acximyzfe,True,False,0,
Shredded Cheese,6540Z1AFbyp1rXibyDCkkK,Music League,31l2ybikgcplyq5l2i3acximyzfe,True,False,0,
"I'm not crying, you're crying!",1wCB9GfaipF5vywj0uX9Zf,Music League,31l2ybikgcplyq5l2i3acximyzfe,True,False,0,
Headliner,5Ciik7cUfYEu3Mi3ocDo72,Music League,31l2ybikgcplyq5l2i3acximyzfe,True,False,0,
Happiness!,3jgRn7xZ6rBVZpq8mfX4V0,Music League,31l2ybikgcplyq5l2i3acximyzfe,True,False,0,
Opening Act,5MER5UsSBbXzkluJwwaONH,Music League,31l2ybikgcplyq5l2i3acximyzfe,True,False,0,
Small Shoegaze Bands,1lyhoAOAkOAxYMxOKUYipe,Athul K. Acharya,1213650747,True,False,0,
Ambient Chill,1kqBP6eE24L0agNpnTIKtc,Valley View Records,p64dq7tnb8e2yzc45hke20les,True,False,0,"Curated for sleep, study, focus &amp; relaxation. No beats, no vocals and no distractions. Packed full of the most beautiful &amp; relaxing Ambient based tracks we discover. Updated often with new fin"
Kawaii Metal,161k97x8MxAQozqdTrhjVE,Jonathan Vezeteknev,jmicklos,True,False,0,
My Playlist #11,5moqbOomm0H98kbochYNZH,Jonathan Vezeteknev,jmicklos,True,False,0,
My Shazam Tracks,47RPN72vlgfw5XCWbX94rK,Jonathan Vezeteknev,jmicklos,True,False,0,
"Alien Cake Lofi 👽 90’s Grunge, Emo, and Pop-Punk ",4jI0w5igu774l980bztksb,Alien Cake Music,6omh71df69v8jenx78r17foo7,True,False,0,"Bringing You Lofi 90’s Grunge, Emo, and Pop-Punk From a Cosmic Realm.  SONG REQUESTS <a href=""https://docs.google.com/forms/d/e/1FAIpQLSf83Rl6PEXrBCKeFcvFdPzWHbwfXRTMPS8EcxJmTlf9qzBfeA/viewform?usp=sf"
Thai One On,3exM9qHTmrExHgndh8GMaz,Chris,ofb5lt3kyb8d64kx0296jj7de,True,False,0,
Mogwai Seattle 2022,4jyktrbcKha1WScSr6gEpe,Athul K. Acharya,1213650747,True,False,0,
Grunge accoustic,0MLcjBifsiTFlhMK1BuTWk,jorgenkalma,jorgenkalma,True,False,0,
