spotify_id,artist,track_name,duration,date_added
0THaoqWjE4cyOMZALznzq9,Angine de Poitrine,Yor Zarad,6:30,2026-04-07
0gOaJ646z6OJv4lLDpjfDt,Angine de Poitrine,Mata Zyklek,6:10,2026-04-07
1KVkzkmFBx4A8bCma6ruKA,Angine de Poitrine,Fabienk,6:31,2026-04-07
1K9sehA1QUYO5RfbGIRTCP,Tigran Hamasyan,Prelude For All Seekers,4:30,2026-04-08
1YypZlIUcwdkUoX8b5Jx4T,Tigran Hamasyan,War Time Poem,3:47,2026-04-08
4lXjz5k4Rij3LTj6O0mgOO,Flea,Thinkin Bout You,4:10,2026-04-08
5I4qUAmzixA1Nnw4K6OYlO,Flea,Free As I Want to Be,5:14,2026-04-08
4Me1bg4wAsxhi1YWxSa8oC,sunn O))),Does Anyone Hear Like Venom?,7:33,2026-04-08
0kTITl59lp4vgZONiQbscP,HENGE,Welcome To Voltus,5:35,2026-04-08
3poJZBl2yoeWbMMxX63YcE,Flea,Maggot Brain,4:52,2026-04-07
6bb0E3IsSmKMF0b5Tv9ssW,Flea,Willow Weep for Me,3:53,2026-04-07
6bTyduM97Iq8GcbmsatKiJ,Artifacts,The Inteview,3:40,2026-04-04
1BJtj3I9YWRd3Oq9kBVyFj,The Nonce,Keep It On,4:14,2026-04-04
5ksRub3vtilRmY3CQvucqC,Jigmastas,Beyond Real - Remix,3:50,2026-04-04
0cseWWMHpjB9Y9Wg02LLr9,Kurious,I'm Kurious,3:55,2026-04-04
3c9dRPb6IlTe3oX95h9vYR,The Beatnuts,Let Off A Couple,1:43,2026-04-04
60KWmDnLE9jB9dHVkhlu3P,Cru,Just Another Case,3:36,2026-04-04
3jlUMYwPBzVUBqfhcScVDX,Lords Of The Underground,What I'm After,4:20,2026-04-04
2YKkQHCU8K2m8IB368k2xJ,Artifacts,Whayback,4:48,2026-04-04
7cz70nyRXlCJOE85whEkgU,Harvey Danger,Flagpole Sitta,3:37,2026-04-02
1ACsYcDFncj9N6hc2l2vE0,Russian Circles,Geneva - Live,5:51,2026-03-11
