spotify_id,playlist_name,track_count,source
2XKz10JDTLigxCqKN1Wgn7,My top tracks playlist,0,SpotifyMCP
0lEA06MiCe5hD6EVKOviHm,Boom Bap,0,SpotifyMCP
1xVOiCfK7zyoIII5PCGgWe,Metal Workout Mix,0,SpotifyMCP
3UqoL2pn0nLAdDp9KiLsuh,Bizarre EDM,0,SpotifyMCP
04IxYsDTvjFwYBIMC9dXdN,Wedding Playlist Ideas,0,SpotifyMCP
0hRWlUlzplMNAibjzlHyur,"""i listen to everything"" [all songs]",0,SpotifyMCP
2qk8XRteoVQCpTqijKUfRf,"""i listen to everything""",0,SpotifyMCP
2VhuE8EyIiClZi0i4IlOo5,G Zoom Recommends,0,SpotifyMCP
5h3TjaqJsI3HrxZ3XsrWiU,Beyond Wonderland The Gorge 2025,0,SpotifyMCP
4k1j09svhyRGJDJYPyMZLU,Lights down you up and die,0,SpotifyMCP
3uyx9dPh4e1DckYpyuKRuU,Drum beats louder,0,SpotifyMCP
078nL3isb4WHVqkpD9A6n1,Wondering if we had spent our living days well,0,SpotifyMCP
0qDk6Jg9RVHvtlY0ybg5tD,"Turns out not where but who you're with that really matters",0,SpotifyMCP
2ClpNTgPPjM3IfI8vRUTiv,Tomorrow go back to being friends,0,SpotifyMCP
6vYCcjzegcjKfvR4mMYAJJ,old new york vibes,0,SpotifyMCP
0D2vDtYZPqCAKlHozg5r9N,"Don't lose the dreams inside your head",0,SpotifyMCP
1x8Tyh4DkyIhdoFKGKYerQ,"I like most liquor but I don't like gin",0,SpotifyMCP
6mYxpwGn4sAXKl94Vrc0FN,Eat Drink and be Merry!,0,SpotifyMCP
00W0RiXu7l1eMS2DveWXhh,Hip Hop Jazz Covers,0,SpotifyMCP
2S9mk3iCJSvys5wWDWVemL,"Shit.... are we really a quarter of the way through the century?",0,SpotifyMCP
6iao2vsEtzfsw0tVs4lWK2,Window Seats and AirPods,0,SpotifyMCP
1wjaqJ1HLhOmmMzb5viBhM,Spa Music...But The Subwoofers Massage You,0,SpotifyMCP
0eG8AUYnLCKBcS8paHQsbU,"I don't wanna grow up I'm a toys'r'us kid",0,SpotifyMCP
43qeAgSSWXUHdMOnO3z0ug,Dope Beats,0,SpotifyMCP
2QO522wXuYk8z08dFowFtb,Bang bang boogie and the broccoli beef,0,SpotifyMCP
76TvtFpxSHGdTF1vlq9g54,You shut your mouth when you're talking to me!,0,SpotifyMCP
2NwhZB2T84le3A02wxrntm,Let's See Where This Goes,0,SpotifyMCP
3aMtRxkZUmmhmhuVwxm7Bc,Epic Synthwave,0,SpotifyMCP
37GWbcar9ky3DE6Bo4emvg,Cinematic Dark Synth,0,SpotifyMCP
0KzmvbejlOvYiXcj37BNQM,"The times they are a changin'",0,SpotifyMCP
03YZvOhXI15wB847gU7Kl0,Story Time!,0,SpotifyMCP
4mH8FLR2YqsDaxsexNMUHB,De Donde Eres?,0,SpotifyMCP
4Yr8CJdo2UKlXgD8mV6ry3,Finally some good weather,0,SpotifyMCP
6540Z1AFbyp1rXibyDCkkK,Shredded Cheese,0,SpotifyMCP
1wCB9GfaipF5vywj0uX9Zf,"I'm not crying you're crying!",0,SpotifyMCP
5Ciik7cUfYEu3Mi3ocDo72,Headliner,0,SpotifyMCP
3jgRn7xZ6rBVZpq8mfX4V0,Happiness!,0,SpotifyMCP
5MER5UsSBbXzkluJwwaONH,Opening Act,0,SpotifyMCP
1lyhoAOAkOAxYMxOKUYipe,Small Shoegaze Bands,0,SpotifyMCP
1kqBP6eE24L0agNpnTIKtc,Ambient Chill,0,SpotifyMCP
161k97x8MxAQozqdTrhjVE,Kawaii Metal,0,SpotifyMCP
5moqbOomm0H98kbochYNZH,My Playlist #11,0,SpotifyMCP
47RPN72vlgfw5XCWbX94rK,My Shazam Tracks,0,SpotifyMCP
4jI0w5igu774l980bztksb,Alien Cake Lofi - 90's Grunge Emo and Pop-Punk,0,SpotifyMCP
3exM9qHTmrExHgndh8GMaz,Thai One On,0,SpotifyMCP
4jyktrbcKha1WScSr6gEpe,Mogwai Seattle 2022,0,SpotifyMCP
0MLcjBifsiTFlhMK1BuTWk,Grunge accoustic,0,SpotifyMCP
0KAif08FFIPNte6IMYKWF1,Psychedelic Sleep Music (10 Hours),0,SpotifyMCP
5g0UJWMaSq6RLB9lit7ntQ,non-english indie alternative dreampop & more,0,SpotifyMCP
3Ynv30QfZU1Ui3QWWdiTjM,Melancholic 90s String Section,0,SpotifyMCP
