spotify_uri,artist,track_name,first_seen_utc,playlist_uri,context
spotify:track:018zT8xThRbMH2QeUoMlKQ,Avenged Sevenfold,Warmness On The Soul,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:01CYr3t0hedD915PmI5l4D,Avenged Sevenfold,Trashed and Scattered,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:01ZG6VNmqta0ZV23kJfvIS,Mari Cafferty,Lively Bluebottle,2026-01-08T04:00:34.491Z,,BasslineRequests
spotify:track:04Ue04iTcYkmOBuJydnveM,Angine de Poitrine,Tamebsz,2026-03-04T17:35:54.518Z,,AudioResolve
spotify:track:04nttVuhetahcFOSSoc9Wh,Kai Stellar,Rose Quartz,2026-01-07T03:13:16.844Z,,BasslineRequests
spotify:track:04vGO36ZMrGzqNjTVdopHL,Mickey Avalon,Stroke Me,2026-03-22T22:17:34.143Z,,AudioResolve
spotify:track:054npqr8dWDHfI9rLOGyN8,Avenged Sevenfold,Magic,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:05HqjPoKx7quO5saF51oDe,pkwy.,evergreen,2026-03-26T21:42:28.770Z,,BasslineRequests
spotify:track:06RKqktximm0kH8NVvxTyN,Deftones,Cherry Waves,2026-01-09T21:05:27.633Z,,BasslineRequests
spotify:track:08c227YUQqgMFZvpqxPJO3,Mr. Bill,Loaf Boi,2026-01-05T21:49:25.778Z,,BasslineRequests
spotify:track:09Btkoj4YIm36KVJqomiCE,"BADBADNOTGOOD, V.C.R",Found A Light (Beale Street),2025-12-31T01:10:44.483Z,,BasslineRequests
spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),2026-03-25T21:01:37.016Z,,AudioResolve
spotify:track:09kMIxptm0HflCqI2pxIKE,Sex Brain,Crush - Instrumental,2026-03-05T06:21:40.052Z,,BasslineRequests
spotify:track:0Am6iu77p6vMJ67U3CTS7k,Aumira,Arndale,2026-03-26T21:42:28.770Z,,BasslineRequests
spotify:track:0B97qFqGUnLvV2tXZpXfxf,Bits & Noise,Deep Sleep Brown Noise,2026-02-05T00:29:27.085Z,,AudioResolve
spotify:track:0BTdh7e4WYzIE5fzrHSNzQ,Noise Advisor,Infinite Pink Noise,2026-02-02T23:21:00.871Z,,BasslineRequests
spotify:track:0CAfXk7DXMnon4gLudAp7J,"Flo Rida, T-Pain",Low (feat. T-Pain),2026-01-01T06:01:51.092Z,,BasslineRequests
spotify:track:0CeIRy62TCrofemvXIppqR,The Clear Mind,Napping on the Couch With Pink Noise,2026-02-02T23:21:00.871Z,,BasslineRequests
spotify:track:0Cy71ynWqU8ujRQTeAtX1u,Of The Trees,Dolori,2026-02-08T03:53:53.999Z,,BasslineRequests
spotify:track:0DMU0QiSypeYxL6BYdxjcy,Deftones,my mind is a mountain,2026-01-02T22:48:36.263Z,,BasslineRequests
spotify:track:0DkmhHO4yyqCJFjosmmWPU,Avenged Sevenfold,Almost Easy,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:0DpHx9lNkNymaSdFALmBxY,Sessa,Estrela Acesa,2026-01-12T06:32:47.779Z,,BasslineRequests
spotify:track:0DsAxHjchu8vzMrumD3KsR,Pedestrian Tactics,Nerds Trying To Dance,2026-01-05T21:35:16.301Z,,BasslineRequests
spotify:track:0EIO8ORzhZoYRao0TIjTbv,This Will Destroy You,Happiness: We're All in It Together,2026-02-02T23:24:42.970Z,,BasslineRequests
spotify:track:0FAlx7lzniash1rwKeFjJN,Rosinha De Valença,Concierto de Aranjuez,2026-01-12T05:16:13.165Z,,BasslineRequests
spotify:track:0FP5OfpcI9mWQ25HPoXjae,OmniBrain,Becomes Light,2026-01-08T05:14:24.667Z,,AudioResolve
spotify:track:0FUfELSRqA1sjSAC7kLxfV,"The Still Brothers, Marina B",Wake Up,2026-01-12T04:59:09.505Z,,BasslineRequests
spotify:track:0Fnb2pfBfu0ka33d6Yki17,Bob Dylan,All Along the Watchtower,2026-03-27T00:48:54.863Z,,AudioResolve
spotify:track:0GtNrtrODf1NB50xZXgDUF,This Will Destroy You,Many of Them,2026-02-02T23:21:06.729Z,,BasslineRequests
spotify:track:0GxV3poTM7Z7fKSUqy5qFw,Cream,Tales Of Brave Ulysses,2026-03-06T00:28:35.927Z,,BasslineRequests
spotify:track:0HOK3eq2p9A7bgn3X4orMC,Mudvayne,Hurt People Hurt People,2026-01-19T04:15:51.015Z,,AudioResolve
spotify:track:0IwfFkgU1Ee2ekPb74RcpX,myndstream,Surfacing,2026-01-12T02:12:06.127Z,,AudioResolve
spotify:track:0JUZetZb7lxLsmT7HwNCQv,Avenged Sevenfold,We Love You,2026-02-04T17:15:26.766Z,,BasslineRequests
spotify:track:0K06JwjnQVFwCFwpKGZnPt,Angine de Poitrine,Sahardnieh,2026-03-05T00:45:20.777Z,,BasslineRequests
spotify:track:0K6bM8wUaxWYW5OXmnL5Wf,Jkyl & Hyde,Sensory Session,2026-02-07T22:12:45.376Z,spotify:playlist:3UqoL2pn0nLAdDp9KiLsuh,AddedToPlaylist
spotify:track:0KVWr73gPbXb7aPMJi8i5i,Waking Up Inside,Boundless,2026-03-26T21:42:28.770Z,,BasslineRequests
